instrument_key,exchange_token,Symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE758E01017,18143,JIOFIN,JIO FIN SERVICES LTD,314.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE089A01031,881,DRREDDY,DR. REDDY S LABORATORIES,1247.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE456Z01021,21705,MEDIASSIST,MEDI ASSIST HEALTH SER L,539.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE771A01026,4394,MIRZAINT,MIRZA INTERNATIONAL LIMIT,32.29,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE251B01027,7508,ZENTEC,ZEN TECHNOLOGIES LIMITED,1900.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q6H01012,23052,SONAMAC,SONA MACHINERY LIMITED,82.75,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE390H01020,13457,KAMDHENU,KAMDHENU LIMITED,29.75,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE633B01018,2687,POLYPLEX,POLYPLEX CORPORATION LTD,1129.6,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE575P01011,7083,STARHEALTH,STAR HEALTH & AL INS CO L,442.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE778B01029,24265,ESTER,ESTER INDUSTRIES LTD,120.76,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE351A01035,3579,UNICHEMLAB,UNICHEM LABORATORIES LTD,638.3,,,0.05,1,EQUITY,,NSE_EQ
